,event,cycle,loc,transaction,src,src_index,dst,dst_index,req,cacheLine,reqAddr,data,size,tran_id,cpuID,mshrSize,ICacheState,NCacheState,hit-miss,type-op
2266,New,412000,l2cache_1,CompData,dc0,3,l2cache_1,2,l1cache_1,0x48c0,0x48ec,T,64,125,125,,,,,
2267,Send,412000,l2cache_0,CompData,l2cache_0,2,l1cache_0,1,-,0x9c0,0x9e8,-,64,105,105,-,-,-,-,-
2268,Send,412000,l2cache_0,Inv,l2cache_0,2,l1cache_0,1,-,0x3dc0,-,-,64,434,102,-,-,-,-,-
2269,Retry,412000,l2cache_2,SnpUnique,dc2,3,l2cache_2,2,l1cache_1,0x56c0,0x56e8,F,64,391,391,28,UD,I,-,Respond
2270,New,412000,l2cache_2,SnpRespData,l1cache_2,1,l2cache_2,2,l1cache_1,0x3ec0,-,T,64,420,420,,,,,
2271,New,412000,l2cache_2,CompData,dc1,3,l2cache_2,2,l1cache_2,0x400,0x410,T,64,198,198,27,IUD,UD,-,Respond
2272,Send,412000,l1cache_2,SnpRespData,l1cache_2,1,l2cache_2,2,-,0x25c0,-,-,64,424,424,-,-,-,-,-
2273,New,412000,l1cache_2,SnpUnique,l2cache_2,2,l1cache_2,1,l1cache_0,0xcc0,-,F,64,431,431,,UC,I,-,Respond
2274,New,412000,l1cache_0,SnpUnique,l2cache_0,2,l1cache_0,1,l1cache_2,0x42c0,-,F,64,430,430,,UD,I,-,Respond
2275,New,412000,l1cache_0,ReadUnique,memHierarchyTester,0,l1cache_0,1,l1cache_0,0x4c0,0x4e9,T,1,437,437,,,,,
2276,New,413000,l1cache_2,ReadUnique,memHierarchyTester,0,l1cache_2,1,l1cache_2,0x54c0,0x54e9,T,1,439,439,,UD,UD,hit,Respond
2277,Send,413000,l1cache_1,CompData,l1cache_1,1,memHierarchyTester,0,-,0x440,0x450,-,1,158,158,-,-,-,-,-
2278,New,413000,l1cache_0,ReadUnique,memHierarchyTester,0,l1cache_0,1,l1cache_0,0x4c0,0x4e9,T,1,437,437,29,SC,SCUD,miss,Forward
